,1P1F,1P2F,2P1F,2P2F,F1,F2,Condicion,Final,Año,Tipo_Cursada,Virtual,Oral,Grupo
0,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
1,-1.0,7.0,8.2,-1.0,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
2,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
3,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
5,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
7,-1.0,-1.0,-1.0,4.2,7.8,-1.0,Promocionado,6,2020,Verano,0,,
8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
10,8.6,-1.0,7.9,-1.0,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
11,7.5,-1.0,7.1,-1.0,-1.0,-1.0,Promocionado,7,2020,Verano,0,,
12,-1.0,8.3,9.5,-1.0,-1.0,-1.0,Promocionado,9,2020,Verano,0,,
13,7.6,-1.0,9.4,-1.0,-1.0,-1.0,Promocionado,9,2020,Verano,0,,
14,6.9,-1.0,8.2,-1.0,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
16,-1.0,8.7,5.9,-1.0,-1.0,-1.0,Promocionado,7,2020,Verano,0,,
17,-1.0,-1.0,7.1,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
19,-1.0,6.3,6.5,-1.0,-1.0,-1.0,Promocionado,6,2020,Verano,0,,
20,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
21,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
26,6.6,-1.0,-1.0,6.199999999999999,-1.0,-1.0,Promocionado,6,2020,Verano,0,,
27,-1.0,8.6,5.7,-1.0,-1.0,-1.0,Promocionado,7,2020,Verano,0,,
28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
30,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
31,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
32,-1.0,-1.0,7.1,-1.0,7.399999999999999,-1.0,Promocionado,7,2020,Verano,0,,
33,-1.0,-1.0,6.6,-1.0,7.6,-1.0,Promocionado,7,2020,Verano,0,,
34,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
38,6.8,-1.0,-1.0,-1.0,-1.0,5.9,Promocionado,6,2020,Verano,0,,
39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
40,-1.0,-1.0,-1.0,5.800000000000001,7.8,-1.0,Promocionado,7,2020,Verano,0,,
41,8.2,-1.0,-1.0,7.399999999999999,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
43,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
46,8.1,-1.0,8.7,-1.0,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
47,-1.0,-1.0,-1.0,5.7,9.5,-1.0,Promocionado,8,2020,Verano,0,,
48,9.4,-1.0,8.600000000000001,-1.0,-1.0,-1.0,Promocionado,9,2020,Verano,0,,
49,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
50,0.0,0.0,0.0,0.0,-1.0,-1.0,Desaprobado,0,2020,Verano,0,,
51,7.0,-1.0,9.5,-1.0,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
52,5.7,6.6000000000000005,-1.0,-1.0,-1.0,7.1,Promocionado,7,2020,Verano,0,,
53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
55,-1.0,-1.0,4.1,7.6,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
60,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
61,8.5,-1.0,6.6,8.6,-1.0,-1.0,Promocionado,9,2020,Verano,0,,
62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Libre,0,2020,Verano,0,,
64,-1.0,7.800000000000001,9.0,-1.0,-1.0,-1.0,Promocionado,8,2020,Verano,0,,
65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Abandonó,0,2020,Verano,0,,
